station_id,station_name,Latitude,Longitude,Elevation,Country
37747,EVLAKH AIRPORT,40.617,47.15,15,Null
41024,JEDDAH,21.7,39.1833,15,Null
48657,KUANTAN,3.7833,103.2167,15,Null
96535,PALOH,1.7667,109.3,15,Null
41217,ABU DHABI INTERNATIONAL AIRPOR,24.4333,54.65,16,Null
42724,AGARTALA,23.8833,91.25,16,Null
48108,DAWEI,14.1,98.2167,16,Null
48477,SATTAHIP,12.6914,100.9853,16,Null
59644,BEIHAI,21.4833,109.1,16,Null
43049,GOPALPUR,19.2667,84.8833,16.4,Null
48852,HUE/PHU BAI,16.4,107.6833,17,Null
54602,BAODING,38.733,115.483,17,Null
41883,BOGRA,24.85,89.3667,18,Null
43497,HAMBANTOTA,6.1167,81.1333,18,Null
96091,TANJUNG PINANG/KIJANG,0.9167,104.5333,18,Null
42895,BALASORE,21.5167,86.9333,18.8,Null
40416,DHAHRAN,26.267,50.167,19,Null
41288,MASIRAH,20.667,58.9,19,Null
63125,DJIBOUTI,11.55,43.15,19,Null
05840,WALTAIR,17.68,83.35,20,Null
40811,AHWAZ,31.3333,48.6667,20,Null
42734,JAMNAGAR,22.45,70.083,20,Null
96481,TAWAU,4.2667,117.8833,20,Null
41780,KARACHI AIRPORT,24.9,67.1333,21,Null
48650,KUALA LUMPUR INTERNATIONAL AIR,2.7167,101.7,21,Null
96011,BANDA ACEH/BLANG BINTANG,5.5167,95.4167,21,Null
40417,K.F.I.A.,26.45,49.8167,22,Null
96315,BRUNEI AIRPORT,4.9333,114.9333,22,Null
96413,KUCHING,1.4833,110.3333,22,Null
41316,SALALAH AIRPORT,17.0439,54.1022,23,Null
54714,TE HSIEN/TECHOW,37.4833,116.3667,23,Null
40400,AL-WEJH,26.2,36.483,24,Null
43181,VIJAYAWADA/GANNAVA,16.533,80.8,24,Null
45004,KOWLOON,22.3272,114.1686,24,Null
57494,WUHAN,30.6,114.05,24,Null
96035,KUALANAMU MEDAN,3.6403,98.8786,25,Null
42970,CUTTACK,20.48,85.87,26,Null
96529,TANJUNG REDEP/KALIMARAU,2.1167,117.45,26,Null
17351,ADANA/BOLGE,36.9833,35.35,27,Null
37860,MASHTAGA,40.5333,50,27,Null
48647,KUALA LUMPUR SUBANG,3.117,101.55,27,Null
41764,HYDERABAD,25.3833,68.4167,28,Null
48849,DONG HA,16.8167,107.0833,28,Null
59658,ZHANJIANG,21.217,110.4,28,Null
40100,RAFIC HARIRI INTL,33.817,35.483,29,Null
48096,MINGALADON,16.9,96.183,29,Null
46689,MAZU (=588490),26.15,119.95,30,Null
43285,MANGALORE/PANAMBUR,12.95,74.8333,30.8,Null
46734,MAKUNG AB (=593450),23.5833,119.6167,31,Null
58944,PINGTAN,25.517,119.783,31,Null
96109,PEKAN BARU/SIMPANGTIGA,0.4667,101.45,31,Null
37484,BATUMI,41.633,41.6,32,Null
40650,BAGHDAD INT. AIRPORT,33.3,44.4,32,Null
58238,NANJING,31.9333,118.9,32,Null
54511,BEIJING,39.9333,116.2833,32.5,Null
41859,RANGPUR,25.7333,89.2333,33,Null
41977,CHITTAGONG (AMBAGAN),22.35,91.8167,33,Null
58203,FUYANG,32.8667,115.7333,33,Null
41891,SYLHET,24.9,91.8833,34,Null
57662,CHANGDE,29.05,111.683,35,Null
48110,MERGUI,12.433,98.6,36,Null
58321,HEFEI,31.867,117.233,36,Null
41749,NAWABSHAH,26.25,68.3667,37,Null
51573,TURPAN,42.933,89.2,37,Null
54843,WEI HSIEN,36.7,119.1167,38,Null
05796,COLABA,18.9,72.82,40,Null
05822,PURNEA,25.77,87.52,40,Null
05834,SILCHAR,24.83,92.85,40,Null
58027,XUZHOU,34.2833,117.15,42,Null
42498,BHAGALPUR,25.2333,86.95,44,Null
48378,PHITSANULOK,16.7961,100.2758,44,Null
40648,AL HABBANIYAH,33.37,43.57,45,Null
42971,BHUBANESHWAR,20.25,85.8333,45,Null
48648,PETALING JAYA,3.1,101.65,46,Null
57679,CHANGSHA,28.2,113.0833,46,Null
48112,VICTORIA POINT,9.967,98.583,47,Null
58606,NANCHANG,28.6,115.9167,50,Null
42492,PATNA,25.6,85.1667,51,Null
43194,GOA/DABOLIM AIRPORT,15.383,73.817,52,Null
57584,YUEYANG,29.383,113.083,52,Null
57193,XIHUA,33.783,114.517,53,Null
96565,PUTUSSIBAU/PAGSUMA,0.8833,112.9333,53,Null
42410,GUWAHATI,26.1,91.5833,54,Null
41715,JACOBABAD,28.3,68.4667,55,Null
42647,AHMADABAD,23.0667,72.6333,55,Null
40582,KUWAIT INTERNATIONAL AIRPORT,29.2425,47.9714,56,Null
41756,JIWANI,25.0667,61.8,56,Null
48839,BACH LONG VI,20.1333,107.7167,56,Null
54534,TANG SHAN,39.6667,118.1167,57,Null
54823,JINAN,36.683,116.983,58,Null
43192,GOA/PANJIM,15.4833,73.8167,58.4,Null
43371,THIRUVANANTHAPURAM,8.4833,76.95,59.9,Null
58527,JINGDEZHEN,29.3,117.2,60,Null
59293,HEYUAN,23.8,114.7333,61,Null
58424,ANQING,30.6167,116.9667,62,Null
04856,PEIPING,39.9,116.47,64,Null
53898,ANYANG,36.05,114.4,64,Null
59758,HAIKOU,20,110.25,64,Null
05469,TEZPUR,26.67,92.82,69,Null
43150,VISHAKHAPATNAM/WALTAIR,17.6833,83.3,69.9,Null
59287,GUANGZHOU,23.217,113.483,71,Null
48042,MANDALAY,21.983,96.1,74,Null
42416,TEZPUR/BINDUKURI,26.717,92.8,75,Null
42634,BHUJ-RUDRAMATA,23.25,69.8,78,Null
57799,JIAN,27.117,114.967,78,Null
59280,QINGYUAN,23.7,113.0833,78,Null
42379,GORAKHPUR,26.75,83.3667,78.3,Null
42382,RAXAUL,26.983,84.85,79,Null
43333,PORT BLAIR,11.6667,92.7167,79,Null
43418,TRINCOMALEE,8.5833,81.25,79,Null
05835,SUKKUR,27.7,68.92,80,Null
05431,BHUJ,23.28,69.67,81,Null
58633,QU XIAN,28.9667,118.8667,82.9,Null
42399,JALPAIGURI,26.5333,88.7167,83,Null
43344,TIRUCHCHIRAPALLI,10.7667,78.7167,85,Null
57290,ZHUMADIAN,32.967,114.05,85,Null
58847,FUZHOU,26.0833,119.2833,85,Null
38392,DASHKHOVUZ,41.833,59.983,87,Null
41718,KHANPUR,28.65,70.6833,87,Null
59082,CHU CHIANG,24.8333,113.5,87,Null
96009,LHOKSEUMAWE/MALIKUSSALEH,5.1833,97.1333,87,Null
38507,TURKMENBASHI,40.0333,52.9833,90,Null
96015,MEULABOH/CUT NYAK DHIEN,4.25,96.1167,90,Null
43110,RATNAGIRI,16.9833,73.3333,90.5,Null
57265,GUANGHUA,32.383,111.667,91,Null
59663,YANGJIANG,21.8333,111.9667,91,Null
43421,ANURADHAPURA,8.3333,80.4167,93,Null
37011,TUAPSE,44.1,39.0333,94.6,Null
05457,MANGALORE/MANGALURU,12.98,74.88,95,Null
59046,LIUZHOU,24.35,109.4,97,Null
